ID	Name	Host	Group	Collapse
OLP1	Organic Lake phycodnavirus 1	MAG	Mimiviridae: Mesomimiviruses	
OLP2	Organic Lake phycodnavirus 2	MAG	Mimiviridae: Mesomimiviruses	
Only_Syngen_Nebraska_virus_5	Only Syngen Nebraska virus 5	Chlorophyta	Phycodnaviridae: Chlorovirus	Phycodnaviridae: Chlorovirus
oPacV-421	oPacV-421	MAG	Mimiviridae: Mesomimiviruses	
oPacV-662	oPacV-662	MAG	Mimiviridae: PPVC	Mimiviridae s.s.
Ostreococcus_lucimarinus_virus_1	Ostreococcus lucimarinus virus 1	Chlorophyta	Phycodnaviridae: Prasinovirus	Phycodnaviridae: Prasinovirus
Ostreococcus_lucimarinus_virus_2	Ostreococcus lucimarinus virus 2	Chlorophyta	Phycodnaviridae: Prasinovirus	Phycodnaviridae: Prasinovirus
Ostreococcus_tauri_virus_5	Ostreococcus tauri virus 5	Chlorophyta	Phycodnaviridae: Prasinovirus	Phycodnaviridae: Prasinovirus
Ostreococcus_tauri_virus_RT-2011	Ostreococcus tauri virus RT-2011	Chlorophyta	Phycodnaviridae: Prasinovirus	Phycodnaviridae: Prasinovirus
Pacmanvirus_A23	Pacmanvirus A23	Amoebozoa	Asfarviridae	
Paramecium_bursaria_Chlorella_virus_1	Paramecium bursaria Chlorella virus 1	Chlorophyta	Phycodnaviridae: Chlorovirus	Phycodnaviridae: Chlorovirus
Paramecium_bursaria_Chlorella_virus_AR158	Paramecium bursaria Chlorella virus AR158	Chlorophyta	Phycodnaviridae: Chlorovirus	Phycodnaviridae: Chlorovirus
Paramecium_bursaria_Chlorella_virus_FR483	Paramecium bursaria Chlorella virus FR483	Chlorophyta	Phycodnaviridae: Chlorovirus	Phycodnaviridae: Chlorovirus
Paramecium_bursaria_Chlorella_virus_MT325	Paramecium bursaria chlorella virus MT325	Chlorophyta	Phycodnaviridae: Chlorovirus	Phycodnaviridae: Chlorovirus
Paramecium_bursaria_Chlorella_virus_NY2A	Paramecium bursaria Chlorella virus NY2A	Chlorophyta	Phycodnaviridae: Chlorovirus	Phycodnaviridae: Chlorovirus
PgV-16T	Phaeocystis globosa virus	Haptophyta	Mimiviridae: Mesomimiviruses	
PgVV-16T	PgVV	Haptophyta		
Phaant	Phaeocystis antarctica	Haptophyta		Phaeocystis antarctica
Phaeocystis_pouchetii_virus_01	Phaeocystis pouchetii virus	Haptophyta	Mimiviridae: Mesomimiviruses	
Phaglo	Phaeocystis globosa	Haptophyta		Phaeocystis globosa
PleuroPLV	PleuroPLV	Haptophyta		
PLV-ACE1	PLV-ACE1	MAG		
PLV-MED1	PLV-MED1	MAG		TVS
PLV-RED1	PLV-RED1	MAG		TVS
PLV-RED2	PLV-RED2	MAG		
PLV-SAF1	PLV-SAF1	MAG		
PLV-SAF2	PLV-SAF2	MAG		PLV-SAF2, PLV-SAF3
PLV-SAF3	PLV-SAF3	MAG		PLV-SAF2, PLV-SAF3
PLV-SAF4	PLV-SAF4	MAG		
PLV-SAF5	PLV-SAF5	MAG		
PLV-SAF6	PLV-SAF6	MAG		
PLV-SPO1	PLV-SPO1	MAG		TVS
PLV-SPO2	PLV-SPO2	MAG		TVS
PLV-YSL1	PLV-YSL1	MAG		PLV-YSL1, Han442, Han2744, Montjoie2259
